precision,recall,f1-score,support
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
0.75,0.75,0.75,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
0.4444444444444444,1.0,0.6153846153846153,4.0
0.75,0.75,0.75,4.0
0.8,1.0,0.888888888888889,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,0.75,0.8571428571428571,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,0.5,0.6666666666666666,4.0
1.0,0.75,0.8571428571428571,4.0
1.0,1.0,1.0,4.0
0.3,0.75,0.4285714285714285,4.0
0.0,0.0,0.0,4.0
0.8,1.0,0.888888888888889,4.0
1.0,1.0,1.0,4.0
0.3333333333333333,1.0,0.5,4.0
1.0,0.5,0.6666666666666666,4.0
1.0,1.0,1.0,4.0
1.0,0.75,0.8571428571428571,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
0.6666666666666666,0.5,0.5714285714285715,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,0.5,0.6666666666666666,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,0.5,0.6666666666666666,4.0
1.0,0.75,0.8571428571428571,4.0
0.3333333333333333,0.25,0.28571428571428575,4.0
1.0,0.5,0.6666666666666666,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
1.0,0.5,0.6666666666666666,4.0
1.0,0.5,0.6666666666666666,4.0
0.4,0.8,0.5333333333333333,5.0
0.6666666666666666,0.5,0.5714285714285715,4.0
1.0,1.0,1.0,4.0
0.75,0.75,0.75,4.0
0.75,0.75,0.75,4.0
1.0,1.0,1.0,4.0
1.0,0.75,0.8571428571428571,4.0
1.0,1.0,1.0,4.0
0.84,0.84,0.84,0.84
0.8882936507936509,0.8401785714285713,0.8435003488574917,225.0
0.8861234567901235,0.84,0.8421218287884954,225.0
