,FP,FN,TP,TN,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC
0,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3,1,1,3,220,0.75,0.995475113122172,0.75,0.995475113122172,0.004524886877828055,0.25,0.25,0.9911111111111112
4,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8,5,0,4,216,1.0,0.9773755656108597,0.4444444444444444,1.0,0.02262443438914027,0.0,0.5555555555555556,0.9777777777777777
9,1,1,3,220,0.75,0.995475113122172,0.75,0.995475113122172,0.004524886877828055,0.25,0.25,0.9911111111111112
10,1,0,4,220,1.0,0.995475113122172,0.8,1.0,0.004524886877828055,0.0,0.2,0.9955555555555555
11,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13,0,1,3,221,0.75,1.0,1.0,0.9954954954954955,0.0,0.25,0.0,0.9955555555555555
14,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18,0,2,2,221,0.5,1.0,1.0,0.9910313901345291,0.0,0.5,0.0,0.9911111111111112
19,0,1,3,221,0.75,1.0,1.0,0.9954954954954955,0.0,0.25,0.0,0.9955555555555555
20,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21,7,1,3,214,0.75,0.9683257918552036,0.3,0.9953488372093023,0.03167420814479638,0.25,0.7,0.9644444444444444
22,0,4,0,221,0.0,1.0,,0.9822222222222222,0.0,1.0,,0.9822222222222222
23,1,0,4,220,1.0,0.995475113122172,0.8,1.0,0.004524886877828055,0.0,0.2,0.9955555555555555
24,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25,8,0,4,213,1.0,0.9638009049773756,0.3333333333333333,1.0,0.03619909502262444,0.0,0.6666666666666666,0.9644444444444444
26,0,2,2,221,0.5,1.0,1.0,0.9910313901345291,0.0,0.5,0.0,0.9911111111111112
27,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28,0,1,3,221,0.75,1.0,1.0,0.9954954954954955,0.0,0.25,0.0,0.9955555555555555
29,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31,1,2,2,220,0.5,0.995475113122172,0.6666666666666666,0.990990990990991,0.004524886877828055,0.5,0.3333333333333333,0.9866666666666667
32,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34,0,2,2,221,0.5,1.0,1.0,0.9910313901345291,0.0,0.5,0.0,0.9911111111111112
35,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38,0,2,2,221,0.5,1.0,1.0,0.9910313901345291,0.0,0.5,0.0,0.9911111111111112
39,0,1,3,221,0.75,1.0,1.0,0.9954954954954955,0.0,0.25,0.0,0.9955555555555555
40,2,3,1,219,0.25,0.9909502262443439,0.3333333333333333,0.9864864864864865,0.00904977375565611,0.75,0.6666666666666666,0.9777777777777777
41,0,2,2,221,0.5,1.0,1.0,0.9910313901345291,0.0,0.5,0.0,0.9911111111111112
42,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46,0,2,2,221,0.5,1.0,1.0,0.9910313901345291,0.0,0.5,0.0,0.9911111111111112
47,0,2,2,221,0.5,1.0,1.0,0.9910313901345291,0.0,0.5,0.0,0.9911111111111112
48,6,1,4,214,0.8,0.9727272727272728,0.4,0.9953488372093023,0.02727272727272727,0.2,0.6,0.9688888888888889
49,1,2,2,220,0.5,0.995475113122172,0.6666666666666666,0.990990990990991,0.004524886877828055,0.5,0.3333333333333333,0.9866666666666667
50,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51,1,1,3,220,0.75,0.995475113122172,0.75,0.995475113122172,0.004524886877828055,0.25,0.25,0.9911111111111112
52,1,1,3,220,0.75,0.995475113122172,0.75,0.995475113122172,0.004524886877828055,0.25,0.25,0.9911111111111112
53,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54,0,1,3,221,0.75,1.0,1.0,0.9954954954954955,0.0,0.25,0.0,0.9955555555555555
55,0,0,4,221,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
